,0
153164,12
153165,14
153166,14
153167,19
153168,11
153169,10
153170,18
153171,17
153172,10
153174,9
153175,8
153176,10
153177,8
153178,15
153179,10
153180,11
153181,11
153182,26
153183,15
153185,8
153186,12
153187,6
153188,9
153189,14
153190,7
153191,6
153192,14
153193,7
153194,6
153196,16
153197,12
153198,9
153199,11
153200,13
153201,9
153202,7
153203,9
153204,13
153205,13
153207,8
153208,4
153209,14
153210,8
153211,13
153212,9
153213,7
153214,3
153215,10
153216,8
153218,9
153219,7
153220,8
153221,6
153222,6
153223,14
153224,11
153225,12
153226,12
153227,5
153229,4
153230,10
153231,9
153232,9
153233,8
153234,5
153235,3
153236,5
153237,9
153238,9
153239,8
153241,10
153242,5
153243,9
153244,12
153245,6
153246,4
153247,4
153248,2
153249,8
153250,2
153252,6
153253,17
153254,6
153255,16
153256,16
153257,13
153258,14
153259,2
153260,17
153261,2
153263,33
153264,33
153265,32
153266,28
153267,30
153268,34
153269,26
153270,17
153271,19
153272,19
153274,24
153275,22
153276,17
153277,20
153278,16
153279,21
153280,16
153281,21
153282,15
153283,21
153285,15
153286,19
153287,18
153288,16
153289,22
153290,25
153291,15
153292,17
153293,17
153294,17
153296,16
153297,16
153298,25
153299,17
153300,19
153301,15
153302,17
153303,16
153304,17
153305,15
153307,17
153308,17
153309,19
153310,16
153311,16
153312,16
153313,15
153314,20
153315,14
153316,15
153318,17
153319,21
153320,19
153321,16
153322,19
153323,17
153324,17
153325,12
153326,16
153327,13
153329,13
153330,21
153331,19
153332,17
153333,14
153334,15
153335,14
153336,18
153337,13
153338,15
153340,13
153341,15
153342,17
153343,17
153344,19
153345,17
153346,24
153347,15
153348,17
153349,14
153350,5
153352,18
153353,13
153354,13
153355,17
153356,17
153357,15
153358,15
153359,20
153360,16
153361,15
153363,17
153364,19
153365,14
153366,16
153367,15
153368,12
153369,11
153370,13
153371,15
153372,16
153374,17
153375,20
153376,19
153377,23
153378,12
153379,12
153380,16
153381,18
153382,11
153383,15
153385,13
153386,14
153387,12
153394,2
153396,1
153409,2
153417,2
153418,3
153429,0
153456,4
153474,3
153479,12
153497,4
153520,5
153526,1
153536,5
153539,4
153540,14
153558,10
153641,5
153670,5
153744,10
153781,7
153796,7
153889,3
153954,12
153958,3
154000,3
154110,7
154180,3
154220,8
154330,1
154441,1
154552,17
154663,14
154775,16
154884,4
154885,12
154886,10
154997,19
155108,14
155160,4
155161,3
155219,12
155330,18
155441,11
155552,18
155663,10
155774,11
155886,10
155997,11
156108,10
156219,10
156330,3
156440,16
156551,16
156662,10
156773,17
156884,10
156996,11
157107,12
157218,14
157283,11
157284,15
157286,11
157287,8
157288,9
157289,12
157290,12
157291,39
157292,4
157293,6
157294,4
157295,12
157297,10
157298,4
157299,12
157300,5
157301,5
157302,8
157303,6
157304,11
